studentId,title,description,startDate,status,supervisorId
E0008,Blockchain Voting System,Comprehensive blockchain voting system implementation with modern technologies,2025-09-19,Active,T1046
E0008,AI-Based Recommendation System,Comprehensive ai-based recommendation system implementation with modern technologies,2025-09-20,Active,T1009
E0025,Machine Learning Price Predictor,Comprehensive machine learning price predictor implementation with modern technologies,2025-06-04,Completed,T1041
E0028,Natural Language Processing,Comprehensive natural language processing implementation with modern technologies,2025-09-08,On Hold,T1046
E0034,AI-Based Recommendation System,Comprehensive ai-based recommendation system implementation with modern technologies,2025-06-08,Active,T1002
E0034,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2024-10-03,Completed,T1005
E0034,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2024-12-11,Completed,T1022
E0098,Mobile App Development,Comprehensive mobile app development implementation with modern technologies,2025-03-26,Completed,T1004
E0113,Web Application Development,Comprehensive web application development implementation with modern technologies,2024-10-11,Active,T1031
E0113,Natural Language Processing,Comprehensive natural language processing implementation with modern technologies,2025-03-28,Completed,T1016
E0113,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2025-08-18,Active,T1005
E0261,Blockchain Voting System,Comprehensive blockchain voting system implementation with modern technologies,2025-01-05,Active,T1035
E0294,Machine Learning Price Predictor,Comprehensive machine learning price predictor implementation with modern technologies,2025-08-06,On Hold,T1006
E0294,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2024-10-26,On Hold,T1039
E0359,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2025-07-11,On Hold,T1032
E0359,Cybersecurity Framework,Comprehensive cybersecurity framework implementation with modern technologies,2025-06-07,Completed,T1049
E0359,Data Analytics Dashboard,Comprehensive data analytics dashboard implementation with modern technologies,2024-11-12,Active,T1033
E0397,Computer Vision Project,Comprehensive computer vision project implementation with modern technologies,2025-02-08,On Hold,T1001
E0397,Big Data Analysis,Comprehensive big data analysis implementation with modern technologies,2025-01-23,Completed,T1038
E0420,Web Application Development,Comprehensive web application development implementation with modern technologies,2024-10-25,Completed,T1007
E0420,Cloud Computing Solution,Comprehensive cloud computing solution implementation with modern technologies,2025-02-06,On Hold,T1043
E0422,Mobile App Development,Comprehensive mobile app development implementation with modern technologies,2025-02-18,On Hold,T1039
E0426,Big Data Analysis,Comprehensive big data analysis implementation with modern technologies,2024-10-10,Completed,T1005
E0426,Machine Learning Price Predictor,Comprehensive machine learning price predictor implementation with modern technologies,2024-11-08,Active,T1020
